word	nodeType	synsetCount	unit
much	ADJ	7	FFMonkeyWren
adolescent	ADJ	5	FFMonkeyWren
indecent	ADJ	3	FFMonkeyWren
indecent	ADJ	3	FFMonkeyWren
last	ADJ	21	FFMonkeyWren
more	ADJ	5	FFMonkeyWren
single	ADJ	10	FFMonkeyWren
free	ADJ	22	FFMonkeyWren
indecent	ADJ	3	FFMonkeyWren
sarcastic	ADJ	1	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
southern	ADJ	4	RHCPScarTis
scarlet	ADJ	2	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
broken	ADJ	72	RHCPScarTis
sweet	ADJ	16	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
scar	ADJ	3	RHCPScarTis
sarcastic	ADJ	1	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
lonely	ADJ	4	RHCPScarTis
innocent	ADJ	8	GDWake
innocent	ADJ	8	GDWake
innocent	ADJ	8	GDWake
dark	ADJ	16	MMasterPup
clear	ADJ	45	MMasterPup
More	ADJ	5	MMasterPup
dedicated	ADJ	6	MMasterPup
fast	ADJ	15	MMasterPup
clear	ADJ	45	MMasterPup
ritual	ADJ	5	MMasterPup
More	ADJ	5	MMasterPup
dedicated	ADJ	6	MMasterPup
fast	ADJ	15	MMasterPup
worth	ADJ	5	MMasterPup
natural	ADJ	13	MMasterPup
fast	ADJ	15	MMasterPup
due	ADJ	7	LPInTheEnd
valuable	ADJ	3	LPInTheEnd
unreal	ADJ	4	LPInTheEnd
surprised	ADJ	4	LPInTheEnd
